athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Thilo Stralkowski,25.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Thilo Stralkowski 25.0 Germany 12/8/2012 Hockey,thilo stralkowski germany hockey,3
Matthew Swann,23.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Matthew Swann 23.0 Australia 12/8/2012 Hockey,matthew swann australia hockey,3
Sarah Thomas,31.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Sarah Thomas 31.0 Great Britain 12/8/2012 Hockey,sarah thomas great britain hockey,1
Glenn Turner,28.0,Australia,2012,12/8/2012,Hockey,0,0,1,1,Glenn Turner 28.0 Australia 12/8/2012 Hockey,glenn turner australia hockey,3
Georgie Twigg,21.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Georgie Twigg 21.0 Great Britain 12/8/2012 Hockey,georgie twigg great britain hockey,3
Laura Unsworth,24.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Laura Unsworth 24.0 Great Britain 12/8/2012 Hockey,laura unsworth great britain hockey,3
Naomi van As,29.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Naomi van As 29.0 Netherlands 12/8/2012 Hockey,naomi van netherlands hockey,3
Robert van der Horst,27.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Robert van der Horst 27.0 Netherlands 12/8/2012 Hockey,robert van der horst netherlands hockey,3
Mink van der Weerden,23.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Mink van der Weerden 23.0 Netherlands 12/8/2012 Hockey,mink van der weerden netherlands hockey,3
Margot van Geffen,22.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Margot van Geffen 22.0 Netherlands 12/8/2012 Hockey,margot van geffen netherlands hockey,3
Caia van Maasakker,23.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Caia van Maasakker 23.0 Netherlands 12/8/2012 Hockey,caia van maasakker netherlands hockey,3
Kitty van Male,24.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Kitty van Male 24.0 Netherlands 12/8/2012 Hockey,kitty van male netherlands hockey,3
Valentin Verga,22.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Valentin Verga 22.0 Netherlands 12/8/2012 Hockey,valentin verga netherlands hockey,3
Klaas Vermeulen,24.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Klaas Vermeulen 24.0 Netherlands 12/8/2012 Hockey,klaas vermeulen netherlands hockey,3
Kate Walsh,32.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Kate Walsh 32.0 Great Britain 12/8/2012 Hockey,kate walsh great britain hockey,1
Sally Walton,31.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Sally Walton 31.0 Great Britain 12/8/2012 Hockey,sally walton great britain hockey,3
Max Weinhold,30.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Max Weinhold 30.0 Germany 12/8/2012 Hockey,max weinhold germany hockey,3
Lidewij Welten,22.0,Netherlands,2012,12/8/2012,Hockey,1,0,0,1,Lidewij Welten 22.0 Netherlands 12/8/2012 Hockey,lidewij welten netherlands hockey,3
Christopher Wesley,25.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Christopher Wesley 25.0 Germany 12/8/2012 Hockey,christopher wesley germany hockey,3
Roderick Weusthof,30.0,Netherlands,2012,12/8/2012,Hockey,0,1,0,1,Roderick Weusthof 30.0 Netherlands 12/8/2012 Hockey,roderick weusthof netherlands hockey,3
Benjamin Weß,27.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Benjamin Weß 27.0 Germany 12/8/2012 Hockey,benjamin germany hockey,3
Timo Weß,30.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Timo Weß 30.0 Germany 12/8/2012 Hockey,timo germany hockey,3
Nicola White,24.0,Great Britain,2012,12/8/2012,Hockey,0,0,1,1,Nicola White 24.0 Great Britain 12/8/2012 Hockey,nicola white great britain hockey,1
Matthias Witthaus,30.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Matthias Witthaus 30.0 Germany 12/8/2012 Hockey,matthias witthaus germany hockey,3
Christopher Zeller,27.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Christopher Zeller 27.0 Germany 12/8/2012 Hockey,christopher zeller germany hockey,3
Philipp Zeller,29.0,Germany,2012,12/8/2012,Hockey,1,0,0,1,Philipp Zeller 29.0 Germany 12/8/2012 Hockey,philipp zeller germany hockey,3
Des Abbott,21.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Des Abbott 21.0 Australia 24/08/2008 Hockey,de abbott australia hockey,3
Marilyn Agliotti,29.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Marilyn Agliotti 29.0 Netherlands 24/08/2008 Hockey,marilyn agliotti netherlands hockey,3
Magdalena Aicega,34.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Magdalena Aicega 34.0 Argentina 24/08/2008 Hockey,magdalena aicega argentina hockey,3
David Alegre,23.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,David Alegre 23.0 Spain 24/08/2008 Hockey,david alegre spain hockey,3
Ramón Alegre,27.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Ramón Alegre 27.0 Spain 24/08/2008 Hockey,ram alegre spain hockey,3
Pol Amat,30.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Pol Amat 30.0 Spain 24/08/2008 Hockey,pol amat spain hockey,3
Eduard Arbós,25.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Eduard Arbós 25.0 Spain 24/08/2008 Hockey,eduard arb spain hockey,3
Lucha Aymar,31.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Lucha Aymar 31.0 Argentina 24/08/2008 Hockey,lucha aymar argentina hockey,3
Noel Barrionuevo,24.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Noel Barrionuevo 24.0 Argentina 24/08/2008 Hockey,noel barrionuevo argentina hockey,3
Sebastian Biederlack,26.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Sebastian Biederlack 26.0 Germany 24/08/2008 Hockey,sebastian biederlack germany hockey,3
Minke Booij,31.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Minke Booij 31.0 Netherlands 24/08/2008 Hockey,minke booij netherlands hockey,3
Travis Brooks,28.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Travis Brooks 28.0 Australia 24/08/2008 Hockey,travis brook australia hockey,3
Kiel Brown,24.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Kiel Brown 24.0 Australia 24/08/2008 Hockey,kiel brown australia hockey,3
Claudia Burkart,28.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Claudia Burkart 28.0 Argentina 24/08/2008 Hockey,claudia burkart argentina hockey,3
Chen Qiuqi,28.0,China,2008,24/08/2008,Hockey,0,1,0,1,Chen Qiuqi 28.0 China 24/08/2008 Hockey,chen qiuqi china hockey,3
Chen Zhaoxia,33.0,China,2008,24/08/2008,Hockey,0,1,0,1,Chen Zhaoxia 33.0 China 24/08/2008 Hockey,chen zhaoxia china hockey,3
Cheng Hui,35.0,China,2008,24/08/2008,Hockey,0,1,0,1,Cheng Hui 35.0 China 24/08/2008 Hockey,cheng hui china hockey,1
Quico Cortés,25.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Quico Cortés 25.0 Spain 24/08/2008 Hockey,quico cort spain hockey,3
Eva de Goede,19.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Eva de Goede 19.0 Netherlands 24/08/2008 Hockey,eva goede netherlands hockey,3
Lisanne de Roever,29.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Lisanne de Roever 29.0 Netherlands 24/08/2008 Hockey,lisanne roever netherlands hockey,3
Liam De Young,26.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Liam De Young 26.0 Australia 24/08/2008 Hockey,liam young australia hockey,3
Wieke Dijkstra,24.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Wieke Dijkstra 24.0 Netherlands 24/08/2008 Hockey,wieke dijkstra netherlands hockey,3
Luke Doerner,28.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Luke Doerner 28.0 Australia 24/08/2008 Hockey,luke doerner australia hockey,3
Jamie Dwyer,29.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Jamie Dwyer 29.0 Australia 24/08/2008 Hockey,jamie dwyer australia hockey,3
Sergi Enrique,20.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Sergi Enrique 20.0 Spain 24/08/2008 Hockey,sergi enrique spain hockey,3
Alex Fábregas,27.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Alex Fábregas 27.0 Spain 24/08/2008 Hockey,alex bregas spain hockey,3
Kiko Fábregas,30.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Kiko Fábregas 30.0 Spain 24/08/2008 Hockey,kiko bregas spain hockey,3
Juan Fernández,23.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Juan Fernández 23.0 Spain 24/08/2008 Hockey,juan fern ndez spain hockey,1
Santi Freixa,25.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Santi Freixa 25.0 Spain 24/08/2008 Hockey,santi freixa spain hockey,3
Fu Baorong,30.0,China,2008,24/08/2008,Hockey,0,1,0,1,Fu Baorong 30.0 China 24/08/2008 Hockey,baorong china hockey,3
Moritz Fürste,23.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Moritz Fürste 23.0 Germany 24/08/2008 Hockey,moritz rste germany hockey,3
Gao Lihua,28.0,China,2008,24/08/2008,Hockey,0,1,0,1,Gao Lihua 28.0 China 24/08/2008 Hockey,gao lihua china hockey,3
Sole García,27.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Sole García 27.0 Argentina 24/08/2008 Hockey,sole garc argentina hockey,3
Rodrigo Garza,28.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Rodrigo Garza 28.0 Spain 24/08/2008 Hockey,rodrigo garza spain hockey,3
Bevan George,31.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Bevan George 31.0 Australia 24/08/2008 Hockey,bevan george australia hockey,3
Maartje Goderie,24.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Maartje Goderie 24.0 Netherlands 24/08/2008 Hockey,maartje goderie netherlands hockey,3
Mariana González,32.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Mariana González 32.0 Argentina 24/08/2008 Hockey,mariana gonz lez argentina hockey,3
David Guest,26.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,David Guest 26.0 Australia 24/08/2008 Hockey,david guest australia hockey,3
Alejandra Gulla,31.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Alejandra Gulla 31.0 Argentina 24/08/2008 Hockey,alejandra gulla argentina hockey,3
Rob Hammond,27.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Rob Hammond 27.0 Australia 24/08/2008 Hockey,rob hammond australia hockey,3
Tobias Hauke,20.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Tobias Hauke 20.0 Germany 24/08/2008 Hockey,tobias hauke germany hockey,3
Maripi Hernández,31.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Maripi Hernández 31.0 Argentina 24/08/2008 Hockey,maripi hern ndez argentina hockey,3
Ellen Hoog,22.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Ellen Hoog 22.0 Netherlands 24/08/2008 Hockey,ellen hoog netherlands hockey,3
Huang Junxia,32.0,China,2008,24/08/2008,Hockey,0,1,0,1,Huang Junxia 32.0 China 24/08/2008 Hockey,huang junxia china hockey,3
Gisi Kañevsky,23.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Gisi Kañevsky 23.0 Argentina 24/08/2008 Hockey,gisi evsky argentina hockey,3
Fergus Kavanagh,23.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Fergus Kavanagh 23.0 Australia 24/08/2008 Hockey,fergus kavanagh australia hockey,3
Florian Keller,26.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Florian Keller 26.0 Germany 24/08/2008 Hockey,florian keller germany hockey,3
Mark Knowles,23.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Mark Knowles 23.0 Australia 24/08/2008 Hockey,mark knowles australia hockey,3
Oliver Korn,24.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Oliver Korn 24.0 Germany 24/08/2008 Hockey,oliver korn germany hockey,3
Stephen Lambert,28.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Stephen Lambert 28.0 Australia 24/08/2008 Hockey,stephen lambert australia hockey,3
Li Hongxia,21.0,China,2008,24/08/2008,Hockey,0,1,0,1,Li Hongxia 21.0 China 24/08/2008 Hockey,hongxia china hockey,3
Li Shuang,30.0,China,2008,24/08/2008,Hockey,0,1,0,1,Li Shuang 30.0 China 24/08/2008 Hockey,shuang china hockey,3
Rosario Luchetti,24.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Rosario Luchetti 24.0 Argentina 24/08/2008 Hockey,rosario luchetti argentina hockey,3
Ma Yibo,28.0,China,2008,24/08/2008,Hockey,0,1,0,1,Ma Yibo 28.0 China 24/08/2008 Hockey,yibo china hockey,3
Mechi Margalot,33.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Mechi Margalot 33.0 Argentina 24/08/2008 Hockey,mechi margalot argentina hockey,3
Eli Matheson,25.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Eli Matheson 25.0 Australia 24/08/2008 Hockey,eli matheson australia hockey,3
Niklas Meinert,27.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Niklas Meinert 27.0 Germany 24/08/2008 Hockey,niklas meinert germany hockey,3
Jan-Marco Montag,24.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Jan-Marco Montag 24.0 Germany 24/08/2008 Hockey,jan marco montag germany hockey,3
Fátima Moreira de Melo,30.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Fátima Moreira de Melo 30.0 Netherlands 24/08/2008 Hockey,tima moreira melo netherlands hockey,3
Eefke Mulder,30.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Eefke Mulder 30.0 Netherlands 24/08/2008 Hockey,eefke mulder netherlands hockey,3
Max Müller,21.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Max Müller 21.0 Germany 24/08/2008 Hockey,max ller germany hockey,3
Carlos Nevado,25.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Carlos Nevado 25.0 Germany 24/08/2008 Hockey,carlos nevado germany hockey,3
Eddie Ockenden,21.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Eddie Ockenden 21.0 Australia 24/08/2008 Hockey,eddie ockenden australia hockey,3
Roc Oliva,19.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Roc Oliva 19.0 Spain 24/08/2008 Hockey,roc oliva spain hockey,3
Pan Fengzhen,23.0,China,2008,24/08/2008,Hockey,0,1,0,1,Pan Fengzhen 23.0 China 24/08/2008 Hockey,pan fengzhen china hockey,3
Maartje Paumen,22.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Maartje Paumen 22.0 Netherlands 24/08/2008 Hockey,maartje paumen netherlands hockey,3
Sophie Polkamp,24.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Sophie Polkamp 24.0 Netherlands 24/08/2008 Hockey,sophie polkamp netherlands hockey,3
Carla Rebecchi,23.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Carla Rebecchi 23.0 Argentina 24/08/2008 Hockey,carla rebecchi argentina hockey,3
Ren Ye,22.0,China,2008,24/08/2008,Hockey,0,1,0,1,Ren Ye 22.0 China 24/08/2008 Hockey,ren china hockey,3
Xavier Ribas,32.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Xavier Ribas 32.0 Spain 24/08/2008 Hockey,xavier ribas spain hockey,3
Mariana Rossi,29.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Mariana Rossi 29.0 Argentina 24/08/2008 Hockey,mariana rossi argentina hockey,3
Mariné Russo,28.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Mariné Russo 28.0 Argentina 24/08/2008 Hockey,marin russo argentina hockey,3
Albert Sala,27.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Albert Sala 27.0 Spain 24/08/2008 Hockey,albert sala spain hockey,3
Janneke Schopman,31.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Janneke Schopman 31.0 Netherlands 24/08/2008 Hockey,janneke schopman netherlands hockey,3
Grant Schubert,28.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Grant Schubert 28.0 Australia 24/08/2008 Hockey,grant schubert australia hockey,3
Minke Smabers,29.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Minke Smabers 29.0 Netherlands 24/08/2008 Hockey,minke smabers netherlands hockey,3
Andrew Smith,29.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Andrew Smith 29.0 Australia 24/08/2008 Hockey,andrew smith australia hockey,3
Víctor Sojo,24.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Víctor Sojo 24.0 Spain 24/08/2008 Hockey,ctor sojo spain hockey,3
Song Qingling,22.0,China,2008,24/08/2008,Hockey,0,1,0,1,Song Qingling 22.0 China 24/08/2008 Hockey,song qingling china hockey,3
Belén Succi,22.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Belén Succi 22.0 Argentina 24/08/2008 Hockey,bel succi argentina hockey,3
Tang Chunling,32.0,China,2008,24/08/2008,Hockey,0,1,0,1,Tang Chunling 32.0 China 24/08/2008 Hockey,tang chunling china hockey,3
Eddie Tubau,27.0,Spain,2008,24/08/2008,Hockey,0,1,0,1,Eddie Tubau 27.0 Spain 24/08/2008 Hockey,eddie tubau spain hockey,3
Naomi van As,25.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Naomi van As 25.0 Netherlands 24/08/2008 Hockey,naomi van netherlands hockey,3
Miek van Geenhuizen,26.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Miek van Geenhuizen 26.0 Netherlands 24/08/2008 Hockey,miek van geenhuizen netherlands hockey,3
Paola Vukojicic,33.0,Argentina,2008,24/08/2008,Hockey,0,0,1,1,Paola Vukojicic 33.0 Argentina 24/08/2008 Hockey,paola vukojicic argentina hockey,3
Max Weinhold,26.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Max Weinhold 26.0 Germany 24/08/2008 Hockey,max weinhold germany hockey,3
Tibor Weißenborn,27.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Tibor Weißenborn 27.0 Germany 24/08/2008 Hockey,tibor wei enborn germany hockey,3
Matt Wells,30.0,Australia,2008,24/08/2008,Hockey,0,0,1,1,Matt Wells 30.0 Australia 24/08/2008 Hockey,matt well australia hockey,3
Lidewij Welten,18.0,Netherlands,2008,24/08/2008,Hockey,1,0,0,1,Lidewij Welten 18.0 Netherlands 24/08/2008 Hockey,lidewij welten netherlands hockey,3
Benjamin Weß,23.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Benjamin Weß 23.0 Germany 24/08/2008 Hockey,benjamin germany hockey,3
Timo Weß,26.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Timo Weß 26.0 Germany 24/08/2008 Hockey,timo germany hockey,3
Philip Witte,24.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Philip Witte 24.0 Germany 24/08/2008 Hockey,philip witte germany hockey,3
Matthias Witthaus,26.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Matthias Witthaus 26.0 Germany 24/08/2008 Hockey,matthias witthaus germany hockey,3
Christopher Zeller,23.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Christopher Zeller 23.0 Germany 24/08/2008 Hockey,christopher zeller germany hockey,3
Philipp Zeller,25.0,Germany,2008,24/08/2008,Hockey,1,0,0,1,Philipp Zeller 25.0 Germany 24/08/2008 Hockey,philipp zeller germany hockey,3
Zhang Yimeng,24.0,China,2008,24/08/2008,Hockey,0,1,0,1,Zhang Yimeng 24.0 China 24/08/2008 Hockey,zhang yimeng china hockey,3
Zhao Yudiao,19.0,China,2008,24/08/2008,Hockey,0,1,0,1,Zhao Yudiao 19.0 China 24/08/2008 Hockey,zhao yudiao china hockey,3
Zhou Wanfeng,28.0,China,2008,24/08/2008,Hockey,0,1,0,1,Zhou Wanfeng 28.0 China 24/08/2008 Hockey,zhou wanfeng china hockey,3
Magdalena Aicega,30.0,Argentina,2004,29/08/2004,Hockey,0,0,1,1,Magdalena Aicega 30.0 Argentina 29/08/2004 Hockey,magdalena aicega argentina hockey,3
Mariela Antoniska,29.0,Argentina,2004,29/08/2004,Hockey,0,0,1,1,Mariela Antoniska 29.0 Argentina 29/08/2004 Hockey,mariela antoniska argentina hockey,3
Clemens Arnold,25.0,Germany,2004,29/08/2004,Hockey,0,0,1,1,Clemens Arnold 25.0 Germany 29/08/2004 Hockey,clemens arnold germany hockey,3
Inés Arrondo,26.0,Argentina,2004,29/08/2004,Hockey,0,0,1,1,Inés Arrondo 26.0 Argentina 29/08/2004 Hockey,arrondo argentina hockey,3
Lucha Aymar,27.0,Argentina,2004,29/08/2004,Hockey,0,0,1,1,Lucha Aymar 27.0 Argentina 29/08/2004 Hockey,lucha aymar argentina hockey,3
Tina Bachmann,26.0,Germany,2004,29/08/2004,Hockey,1,0,0,1,Tina Bachmann 26.0 Germany 29/08/2004 Hockey,tina bachmann germany hockey,3
Christoph Bechmann,32.0,Germany,2004,29/08/2004,Hockey,0,0,1,1,Christoph Bechmann 32.0 Germany 29/08/2004 Hockey,christoph bechmann germany hockey,3
Sebastian Biederlack,22.0,Germany,2004,29/08/2004,Hockey,0,0,1,1,Sebastian Biederlack 22.0 Germany 29/08/2004 Hockey,sebastian biederlack germany hockey,3
Minke Booij,27.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Minke Booij 27.0 Netherlands 29/08/2004 Hockey,minke booij netherlands hockey,3
Ageeth Boomgaardt,31.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Ageeth Boomgaardt 31.0 Netherlands 29/08/2004 Hockey,ageeth boomgaardt netherlands hockey,3
Michael Brennan,28.0,Australia,2004,29/08/2004,Hockey,1,0,0,1,Michael Brennan 28.0 Australia 29/08/2004 Hockey,michael brennan australia hockey,3
Travis Brooks,24.0,Australia,2004,29/08/2004,Hockey,1,0,0,1,Travis Brooks 24.0 Australia 29/08/2004 Hockey,travis brook australia hockey,3
Matthijs Brouwer,24.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Matthijs Brouwer 24.0 Netherlands 29/08/2004 Hockey,matthijs brouwer netherlands hockey,3
Ronald Brouwer,25.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Ronald Brouwer 25.0 Netherlands 29/08/2004 Hockey,ronald brouwer netherlands hockey,3
Claudia Burkart,24.0,Argentina,2004,29/08/2004,Hockey,0,0,1,1,Claudia Burkart 24.0 Argentina 29/08/2004 Hockey,claudia burkart argentina hockey,3
Dean Butler,27.0,Australia,2004,29/08/2004,Hockey,1,0,0,1,Dean Butler 27.0 Australia 29/08/2004 Hockey,dean butler australia hockey,3
Caroline Casaretto,26.0,Germany,2004,29/08/2004,Hockey,1,0,0,1,Caroline Casaretto 26.0 Germany 29/08/2004 Hockey,caroline casaretto germany hockey,3
Philipp Crone,27.0,Germany,2004,29/08/2004,Hockey,0,0,1,1,Philipp Crone 27.0 Germany 29/08/2004 Hockey,philipp crone germany hockey,3
Chantal de Bruijn,28.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Chantal de Bruijn 28.0 Netherlands 29/08/2004 Hockey,chantal bruijn netherlands hockey,3
Teun de Nooijer,28.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Teun de Nooijer 28.0 Netherlands 29/08/2004 Hockey,teun nooijer netherlands hockey,3
Lisanne de Roever,25.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Lisanne de Roever 25.0 Netherlands 29/08/2004 Hockey,lisanne roever netherlands hockey,3
Liam De Young,22.0,Australia,2004,29/08/2004,Hockey,1,0,0,1,Liam De Young 22.0 Australia 29/08/2004 Hockey,liam young australia hockey,3
Jeroen Delmeé,31.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Jeroen Delmeé 31.0 Netherlands 29/08/2004 Hockey,jeroen delme netherlands hockey,3
Geert-Jan Derikx,23.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Geert-Jan Derikx 23.0 Netherlands 29/08/2004 Hockey,geert jan derikx netherlands hockey,3
Rob Derikx,21.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Rob Derikx 21.0 Netherlands 29/08/2004 Hockey,rob derikx netherlands hockey,3
Marina Di Giacomo,28.0,Argentina,2004,29/08/2004,Hockey,0,0,1,1,Marina Di Giacomo 28.0 Argentina 29/08/2004 Hockey,marina giacomo argentina hockey,3
Mijntje Donners,30.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Mijntje Donners 30.0 Netherlands 29/08/2004 Hockey,mijntje donners netherlands hockey,3
Eike Duckwitz,24.0,Germany,2004,29/08/2004,Hockey,0,0,1,1,Eike Duckwitz 24.0 Germany 29/08/2004 Hockey,eike duckwitz germany hockey,3
Jamie Dwyer,25.0,Australia,2004,29/08/2004,Hockey,1,0,0,1,Jamie Dwyer 25.0 Australia 29/08/2004 Hockey,jamie dwyer australia hockey,3
Nathan Eglington,23.0,Australia,2004,29/08/2004,Hockey,1,0,0,1,Nathan Eglington 23.0 Australia 29/08/2004 Hockey,nathan eglington australia hockey,3
Marten Eikelboom,30.0,Netherlands,2004,29/08/2004,Hockey,0,1,0,1,Marten Eikelboom 30.0 Netherlands 29/08/2004 Hockey,marten eikelboom netherlands hockey,3
Christoph Eimer,27.0,Germany,2004,29/08/2004,Hockey,0,0,1,1,Christoph Eimer 27.0 Germany 29/08/2004 Hockey,christoph eimer germany hockey,3
Troy Elder,26.0,Australia,2004,29/08/2004,Hockey,1,0,0,1,Troy Elder 26.0 Australia 29/08/2004 Hockey,troy elder australia hockey,3
Björn Emmerling,28.0,Germany,2004,29/08/2004,Hockey,0,0,1,1,Björn Emmerling 28.0 Germany 29/08/2004 Hockey,emmerling germany hockey,3
